id,year,"team_name","bat_name",age,games,plate_appe,at_bats,runs,hits,doubles,triples,homeruns,runs_batted_in,stolen_bases,caught_steal,walks,strikeouts,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,total_bases,grounded_double_plays,hit_by_pitch,sacrifice_hits,sacrifice_flies,intentional_bb,"notes","created_at","updated_at","batter_id"
141,2016,"Yokohama Bay Stars","Yasutomo Kubo",35,15,30,27,0,2,0,0,0,1,0,0,0,16,0.074,0.074,0.074,0.148,2,0,0,3,0,0,"","2017-09-25 13:04:44","2017-10-04 07:46:28","kubo--001yas"
142,2016,"Yokohama Bay Stars","Yuya Kubo",36,9,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"","2017-09-25 13:04:44","2017-10-04 07:46:28","kubo--001yuu"
143,2016,"Yokohama Bay Stars","Kento Kumabara",22,18,5,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,"","2017-09-25 13:04:44","2017-10-04 07:46:28","kumaba000ken"
144,2016,"Yokohama Bay Stars","Yuki Kuniyoshi",24,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"","2017-09-25 13:04:44","2017-10-04 07:46:28","kuniyo000yuk"
145,2016,"Yokohama Bay Stars","Toshihiko Kuramoto",25,141,566,534,38,157,19,2,1,38,2,3,22,98,0.294,0.323,0.343,0.665,183,13,2,5,3,0,"","2017-09-25 13:04:44","2017-10-04 07:46:28","kuramo000tos"
146,2016,"Yokohama Bay Stars","Masayuki Kuwahara",22,133,522,462,80,131,23,2,11,49,19,11,38,93,0.284,0.356,0.413,0.769,191,5,14,8,0,0,"","2017-09-25 13:04:44","2017-10-04 07:46:28","kuwaha000mas"
147,2016,"Yokohama Bay Stars","Jose Lopez",32,123,518,483,66,127,27,1,34,95,0,0,24,75,0.263,0.299,0.534,0.833,258,12,4,0,7,0,"","2017-09-25 13:04:44","2017-10-04 07:46:28","lopez-007jos"
148,2016,"Yokohama Bay Stars","Hyuma Matsui",25,17,38,35,3,5,0,0,1,1,0,0,1,8,0.143,0.211,0.229,0.439,8,0,2,0,0,0,"","2017-09-25 13:04:44","2017-10-04 07:46:28","matsui000hyu"
149,2016,"Yokohama Bay Stars","Keijiro Matsumoto",30,11,14,13,1,2,0,0,0,0,0,0,0,0,0.154,0.214,0.154,0.368,2,0,1,0,0,0,"","2017-09-25 13:04:44","2017-10-04 07:46:28","matsum001kei"
150,2016,"Yokohama Bay Stars","Tomoya Mikami",27,59,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"","2017-09-25 13:04:44","2017-10-04 07:46:28","mikami000tom"
151,2016,"Yokohama Bay Stars","Hiroki Minei",25,11,17,15,2,5,1,0,0,3,0,0,0,2,0.333,0.412,0.4,0.812,6,1,2,0,0,0,"","2017-09-25 13:04:44","2017-10-04 07:46:28","minei-000hir"
152,2016,"Yokohama Bay Stars","Kazuki Mishima",26,4,8,7,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,"","2017-09-25 13:04:44","2017-10-04 07:46:28","mishim000kaz"
153,2016,"Yokohama Bay Stars","Daisuke Miura",42,3,6,6,1,2,0,0,0,0,0,0,0,2,0.333,0.333,0.333,0.667,2,0,0,0,0,0,"","2017-09-25 13:04:44","2017-10-04 07:46:28","miura-001dai"
154,2016,"Yokohama Bay Stars","Toshiro Miyazaki",27,101,335,302,31,88,16,0,11,36,0,0,25,30,0.291,0.361,0.454,0.815,137,12,8,0,0,0,"","2017-09-25 13:04:44","2017-10-04 07:46:28","miyaza000tos"
155,2016,"Yokohama Bay Stars","Guillermo Moscoso",32,13,23,14,2,1,0,0,0,0,0,0,2,7,0.071,0.188,0.071,0.259,1,0,0,7,0,0,"","2017-09-25 13:04:44","2017-10-04 07:46:28","moscos001gui"
156,2016,"Yokohama Bay Stars","Masashi Nishimori",28,6,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,"","2017-09-25 13:04:44","2017-10-04 07:46:28","nishim001mas"
157,2016,"Yokohama Bay Stars","Tomo Otosaka",22,55,124,115,12,31,9,0,1,8,3,0,7,28,0.27,0.317,0.374,0.691,43,2,1,1,0,0,"","2017-09-25 13:04:44","2017-10-04 07:46:28","otosak000tom"
158,2016,"Yokohama Bay Stars","Zach Petrick",26,15,15,13,0,2,0,0,0,2,0,0,1,7,0.154,0.214,0.154,0.368,2,0,0,1,0,0,"","2017-09-25 13:04:44","2017-10-04 07:46:29","petric000zac"
