id,year,"team_name","pit_name",age,wins,losses,win_loss_perc,earned_run_avg,games,games_started,games_finished,complete_game,shutouts,saves,innings_pitched,hits,runs,earned_runs,homeruns,walks,intentional_bb,strikeouts,hit_by_pitch,balks,wild_pitches,batters_faced,whip,hits_per_nine,homeruns_per_nine,walks_per_nine,strikeouts_per_nine,strikeouts_per_walks,"notes","created_at","updated_at","pitcher_id"
96,2016,"Tohoku Rakuten Golden Eagles","Masashi Kato",26,0,0,0,18,1,0,1,0,0,0,1,2,2,2,1,0,0,0,0,0,0,5,2,18,9,0,0,0,"",NULL,NULL,"kato--006mas"
97,2016,"Tohoku Rakuten Golden Eagles","Takashi Kawai",39,0,1,0,8.22,5,2,2,0,0,0,15.1,23,17,14,2,6,0,7,0,0,0,75,1.891,13.5,1.2,3.5,4.1,1.17,"",NULL,NULL,"kawai-001tak"
98,2016,"Tohoku Rakuten Golden Eagles","Yasunori Kikuchi",26,1,1,0.5,5.16,7,4,1,0,0,0,22.2,33,16,13,4,13,0,14,1,0,2,111,2.029,13.1,1.6,5.2,5.6,1.08,"",NULL,NULL,"kikuch001yas"
99,2016,"Tohoku Rakuten Golden Eagles","Mu-Young Kim",30,0,0,0,4.5,2,0,1,0,0,0,2,1,1,1,1,1,0,1,0,0,0,8,1,4.5,4.5,4.5,4.5,1,"",NULL,NULL,"kim---001mu-"
100,2016,"Tohoku Rakuten Golden Eagles","Radhames Liz",32,0,3,0,6.94,5,2,1,0,0,0,11.2,17,9,9,1,9,1,13,0,0,1,59,2.229,13.1,0.8,6.9,10,1.44,"",NULL,NULL,"liz---001rad"
101,2016,"Tohoku Rakuten Golden Eagles","Yuki Matsui",20,1,4,0.2,3.32,58,0,46,0,0,30,62.1,47,23,23,4,40,0,75,1,1,1,272,1.396,6.8,0.6,5.8,10.8,1.88,"",NULL,NULL,"matsui000yuk"
102,2016,"Tohoku Rakuten Golden Eagles","Kam Mickolio",32,5,1,0.833,2.38,45,0,6,0,0,0,45.1,37,13,12,3,6,0,29,4,0,1,181,0.949,7.3,0.6,1.2,5.8,4.83,"",NULL,NULL,"mickol001kam"
103,2016,"Tohoku Rakuten Golden Eagles","Manabu Mima",29,9,9,0.5,4.3,26,25,0,1,1,0,155,181,80,74,14,32,0,116,8,1,5,678,1.374,10.5,0.8,1.9,6.7,3.63,"",NULL,NULL,"mima--000man"
104,2016,"Tohoku Rakuten Golden Eagles","Sho Miyagawa",25,0,0,0,0.93,9,0,3,0,0,0,9.2,5,1,1,0,3,0,9,1,0,0,35,0.828,4.7,0,2.8,8.4,3,"",NULL,NULL,"miyaga000sho"
105,2016,"Tohoku Rakuten Golden Eagles","Yoshitaka Muto",28,0,0,0,6,2,0,1,0,0,0,3,5,2,2,1,1,0,2,0,0,1,16,2,15,3,3,6,2,"",NULL,NULL,"muto--000yos"
106,2016,"Tohoku Rakuten Golden Eagles","Yusuke Nishimiya",25,3,0,1,4.44,29,0,10,0,0,0,26.1,18,14,13,0,20,0,32,1,0,0,115,1.443,6.2,0,6.8,10.9,1.6,"",NULL,NULL,"nishim000yus"
107,2016,"Tohoku Rakuten Golden Eagles","Takahiro Norimoto",25,11,11,0.5,2.91,28,28,0,2,0,0,195,192,87,63,12,50,0,216,6,0,5,820,1.241,8.9,0.6,2.3,10,4.32,"",NULL,NULL,"norimo000tak"
